child in a pink dress is climbing up a set of stairs in an entry way .,7
girl going into a wooden building .,4
little girl climbing into a wooden playhouse .,4
little girl climbing the stairs to her playhouse .,4
little girl in a pink dress going into a wooden cabin .,4
black dog and a spotted dog are fighting,4
black dog and a tri-colored dog playing with each other on the road .,4
black dog and a white dog with brown spots are staring at each other in the street .,4
dogs of different breeds looking at each other on the road .,7
dogs on pavement moving toward each other .,4
little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,0
little girl is sitting in front of a large painted rainbow .,4
small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,0
is a girl with pigtails sitting in front of a rainbow painting .,4
girl with pigtails painting outside in the grass .,4
man lays on a bench while his dog sits by him .,7
man lays on the bench to which a white dog is also tied .,7
man sleeping on a bench outside with a white and black dog sitting next to him .,7
shirtless man lies on a park bench with his dog .,7
laying on bench holding leash of dog sitting on ground,7
man in an orange hat starring at something .,7
man wears an orange hat and glasses .,4
man with gauges and glasses is wearing a Blitz hat .,4
man with glasses is wearing a beer can crocheted hat .,4
man with pierced ears is wearing glasses and an orange hat .,4
child playing on a rope net .,0
little girl climbing on red roping .,4
little girl in pink climbs a rope bridge at the park .,0
small child grips onto the red ropes at the playground .,0
small child climbs on a red ropes on a playground .,4
black and white dog is running in a grassy garden surrounded by a white fence .,4
black and white dog is running through the grass .,4
Boston terrier is running in the grass .,4
Boston Terrier is running on lush green grass in front of a white fence .,4
dog runs on the green grass near a wooden fence .,4
dog shakes its head near the shore , a red ball next to it .,4
white dog shakes on the edge of a beach with an orange ball .,4
with orange ball at feet , stands on shore shaking off water,0
dog playing with a red ball on the shore near the water .,4
dog with brown ears standing near water with head turned to one side .,4
boy smiles in front of a stony wall in a city .,4
little boy is standing on the street while a man in overalls is working on a stone wall .,7
young boy runs aross the street .,4
young child is walking on a stone paved street with a metal pole and a man behind him .,7
boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,0
black dog leaps over a log .,0
grey dog is leaping over a fallen tree .,0
large black dog leaps a fallen log .,0
mottled black and grey dog in a blue collar jumping over a fallen tree .,4
black dog jumped the tree stump .,0
brown and white dog is running through the snow .,4
dog is running in the snow,4
dog running through snow .,4
white and brown dog is running through a snow covered field .,7
white and brown dog is running over the surface of the snow .,4
man in a hat is displaying pictures next to a skier in a blue hat .,0
man skis past another man displaying paintings in the snow .,0
person wearing skis looking at framed pictures set up in the snow .,7
skier looks at framed pictures in the snow next to trees .,0
on skis looking at artwork for sale in the snow,4
collage of one person climbing a cliff .,4
group of people are rock climbing on a rock climbing wall .,4
group of people climbing a rock while one man belays,4
climbers are ascending a rock face whilst another man stands holding the rope .,0
climbers in a row are climbing the rock while the man in red watches and holds the line .,0
brown dog chases the water from a sprinkler on a lawn .,0
brown dog plays with the hose .,4
brown dog running on a lawn near a garden hose,0
dog is playing with a hose .,4
brown dog running away from the sprinkler in the grass .,7
dog prepares to catch a thrown object in a field with nearby cars .,7
white dog is about to catch a yellow ball in its mouth .,4
white dog is about to catch a yellow dog toy .,4
white dog is ready to catch a yellow ball flying through the air .,4
white dog running after a yellow ball,4
black and white dog jumping in the air to get a toy .,4
black and white dog jumps up towards a yellow toy .,4
dog leaps to catch a ball in a field .,7
white dog is trying to catch a ball in midair over a grassy field .,4
white dog is playing in a green field with a yellow toy .,4
child and a woman are at waters edge in a big city .,4
large lake with a lone duck swimming in it with several people around the edge of it .,0
little boy at a lake watching a duck .,4
young boy waves his hand at the duck in the water surrounded by a green park .,7
people are at the edge of a lake , facing the water and the city skyline .,0
couple and an infant , being held by the male , sitting next to a pond with a near by stroller .,0
couple sit on the grass with a baby and stroller .,4
couple with their newborn baby sitting under a tree facing a lake .,0
man and woman care for an infant along the side of a body of water .,4
with a baby sit outdoors next to their stroller .,0
black dog running in the surf .,7
black lab with tags frolicks in the water .,4
dog splashes in the water,4
black dog runs through the water .,4
is a black dog splashing in the water .,4
man drilling a hole in the ice .,7
man is drilling through the frozen ice of a pond .,0
person in the snow drilling a hole in the ice .,7
person standing on a frozen lake .,0
men are ice fishing .,7
different breeds of brown and white dogs play on the beach .,4
dogs are making a turn on a soft sand beach .,7
dogs playing in the sand at the beach .,4
dogs playing together on a beach .,4
large tan dogs play along a sandy beach .,7
man uses ice picks and crampons to scale ice .,0
ice climber in a blue jacket and black pants is scaling a frozen ice wall .,0
ice climber scaling a frozen waterfall .,7
person in blue and red ice climbing with two picks .,7
climbing an ice wall,7
black dog carries a green toy in his mouth as he walks through the grass .,0
black dog carrying something through the grass .,4
black dog has a blue toy in its mouth .,4
dog in grass with a blue item in his mouth .,7
wet black dog is carrying a green toy through the grass .,0
man and a baby are in a yellow kayak on water .,4
man and a little boy in blue life jackets are rowing a yellow canoe .,4
man and child kayak through gentle waters .,4
man and young boy ride in a yellow kayak .,7
and child in yellow kayak,4
black dog and a brown dog are jumping up to catch a red toy .,4
black dog and a brown dog play with a red toy on a courtyard .,4
brown and black lab are outside and the black lab is catching a toy in its mouth .,0
dog snaps at red and black object as brown dog lunges .,0
Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .,0
boy with a stick kneeling in front of a goalie net,4
child in a red jacket playing street hockey guarding a goal .,0
young kid playing the goalie in a hockey rink .,0
young male kneeling in front of a hockey goal with a hockey stick in his right hand .,7
goalie boy in red jacket crouches by goal , with stick .,7
man in black is sitting next to a modern art structure in front of a glass building .,4
man sits and reads a newspaper by a sculpture outside of an office building .,0
man sits near a large statue .,4
man sitting in front of a metal sculpture in front of a building .,4
man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,4
tent is being set up on the ice .,7
